Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.296355416,9.704981946,9.24547406,9.450082346,8.894864592,8.148172868,7.321072322,6.70117275,6.16843134,5.572465698,5.532621999,6.68744397,5.649205955,5.702937275,5.523428234,5.674701134,5.813090901,5.697777765,5.425291053,5.02729993,4.764224463,4.705311441,4.730549044,4.525592796,4.444675653,4.949851519,5.390754771,5.316767266,4.956950548,,
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,4.441197955,4.656710721,4.603071799,5.280343716,5.490107235,4.734281164,5.082159161,3.643691344,3.494905192,3.690532638,4.153053764,3.864747432,4.293099122,5.795709568,4.283568481,5.265054088,5.797228617,5.113063256,5.623722308,6.616483124,5.364374211,4.937237063,4.95610546,4.665267482,5.090230186,4.517451295,3.962911519,3.661574116,3.740978788,4.115059992,4.032968124,3.854545196,2.932437418,2.472768125,2.420082115,2.505381453,2.332421121,0.222724371,0.291599684,0.165244871,0.231380812,0.227324336,0.225241794,0.213804518,0.245632212,0.297896292,0.285894753,0.332891828,0.369219764,0.34767388,0.342366672,0.235156018,0.18499836,0.195043887,0.188497457,0.173561653,0.22177417,0.110593792,0.138105495,0.124113332,
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,20.68459772,21.37089981,21.39345326,21.08310486,21.26816571,18.87163345,16.89403171,15.01685979,15.99947926,16.28034774,17.82408629,23.6048801,21.07757665,19.67034098,19.21292293,18.71447355,19.96271832,18.86833375,18.24586279,18.48306602,17.10861037,17.8171131,16.81066152,13.48730587,12.59777983,11.65973599,,11.71998202,11.08214203,10.4281648,10.86779353,10.44640525,10.14395248,10.52766765,10.67820117,9.017451675,8.337910826,7.876468596,7.312720722,7.908859427,8.180398388,8.660707718,7.956653544,7.468260364,7.193089344,8.12927896,9.372115711,10.10650974,9.689030815,9.783869895,9.920278639,10.00777861,10.30160182,9.966026043,10.59818942,10.09918411,9.401199207,9.329769243,
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,0.884315459,1.003901236,0.838902237,0.772793321,0.846676794,0.851048972,0.944814878,0.646994779,0.738136784,0.76300295,0.523979622,0.842580796,1.136727506,1.61855251,4.048698085,5.06757269,6.185942038,7.856470603,7.147279489,7.885736896,6.801229189,4.202038376,1.8427876,2.02564473,1.437836475,1.079990821,0.852042147,1.216415359,0.889504637,1.036054349,1.388202254,0.618239721,0.460688227,0.484577114,0.414426673,0.385223919,0.42272017,0.468191736,0.474662139,0.72435335,0.917779124,0.985468195,0.781197761,1.003884135,1.405284929,1.577325122,1.931330763,1.966431875,2.46296151,1.703692386,1.784611711,1.70873762,1.659915745,1.120618542,0.985932845,0.559063044,0.644930063,0.904441587,0.969043975,0.743604152,
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,3.63,3.67,3.63,3.56,,3.95,4,2.34,4.07,8.32,5.13,4.58,3.9,3.71,3.63,3.74,3.7,3.71,3.64,3.96,3.95,4.07,4.14,3.98,3.76,3.86,3.88,8.59,8.24,134.84,
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,4.88,4.93,5.01,4.9,,4.32,4.13,4,3.55,3.29,3.15,3.28,3.25,3.13,2.89,2.81,2.76,2.12,2.57,2.62,2.61,2.56,2.55,2.61,2.61,2.64,2.64,2.39,2.56,3.23,
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80052291,12.00007515,11.45550527,11.26199256,11.18132636,10.92522175,10.38583208,9.878865627,9.221537085,9.177987554,9.034568945,8.267127325,8.116516569,8.060947759,8.608239138,8.642788321,8.347577577,8.681516365,9.212407365,9.311092208,10.1140126,10.21255432,9.680982428,9.361569075,9.23403264,
"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1.991665043,2.001027196,2.005532749,2.017815751,2.046893085,2.092880971,2.125432326,2.162179147,2.199703979,2.234029795,2.264799447,2.296757935,2.323437596,2.349776292,2.381355908,2.417894708,2.417290984,2.442358107,2.501716405,2.587999281,2.6823422,2.722617218,2.760870519,2.802132968,2.845474635,2.884511364,2.875760403,2.865241468,2.863114551,2.875305773,2.898978989,2.876034227,2.865089579,2.874804076,2.905238719,2.947200031,2.959248725,2.977493454,2.999053167,3.017319096,3.026057639,2.985123717,2.94315807,2.906465258,2.876063762,2.848612219,2.797632612,2.741027285,2.684643435,2.640290831,2.617152411,2.598945426,2.604508326,2.631449763,2.677729344,2.742593862,2.802835287,2.878174134,2.971459206,3.088092924,
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,5.617527648,5.602655418,5.587314544,5.559263543,5.519160508,5.479012797,5.46028226,5.45053088,5.4454981,5.448067493,5.463007268,5.489397623,5.528525572,5.564892497,5.580308275,5.566208908,5.529770791,5.47248923,5.394920941,5.300068838,5.192024206,5.061132481,4.923872797,4.790868342,4.677362579,4.592562059,4.523549939,4.487844433,4.487303447,4.518625822,4.575844485,4.646155262,4.742889182,4.870342421,5.029190815,5.211659422,5.396606598,5.61205945,5.845880702,6.071807457,6.267557358,6.427842324,6.545225578,6.633865984,6.71699684,6.806359624,6.88653246,6.973479646,7.056369686,7.117622953,7.145682261,7.125118008,7.082386107,7.016901229,6.929174273,6.82123378,6.694632945,6.547903798,6.394575389,6.253227514,
